id;geom;collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches;status;source;comment
943;0101000020E610000068CD8FBFB4355C405E64027E8DC04140;courier;cou_637;TAIHANGYI Shanxi (太行驿);http://linkedplaces.org/places/cou_637;TAIHANGYI Shanxi (太行驿);112.839157;35.504318;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9695","names":["TAIHANGYI Shanxi (太行驿)"]}];;Y;MDYZK;
944;0101000020E6100000EF90628044955B407978CF81E56A4140;courier;cou_563;HEDONGYI Shanxi (河东驿);http://linkedplaces.org/places/cou_563;HEDONGYI Shanxi (河东驿);110.332306;34.835129;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9696","names":["HEDONGYI Shanxi (河东驿)"]}];;Y;MDYZK;
945;0101000020E6100000FDDB65BFEEE559404F1F813FFC524040;courier;cou_478;GUSONGYI Sichuan (古松驿);http://linkedplaces.org/places/cou_478;GUSONGYI Sichuan (古松驿);103.592697;32.648323;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9700","names":["GUSONGYI Sichuan (古松驿)"]}];;Y;MDYZK;
946;0101000020E6100000FAD51C2098F65940593332C85DB03F40;courier;cou_474;HULINYI Sichuan (护林驿);http://linkedplaces.org/places/cou_474;HULINYI Sichuan (护林驿);103.853035;31.688931;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9703","names":["HULINYI Sichuan (护林驿)"]}];;Y;MDYZK;
947;0101000020E6100000168733BF9A455A402A8C2D0439183F40;courier;cou_480;HUANGHUAYI Sichuan (皇华驿);http://linkedplaces.org/places/cou_480;HUANGHUAYI Sichuan (皇华驿);105.08757;31.09462;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9707","names":["HUANGHUAYI Sichuan (皇华驿)"]}];;N;MDYZK;
948;0101000020E6100000B1BFEC9E3CDD594034D769A4A56A3E40;courier;cou_460;QIONGZHOU Sichuan (邛州);http://linkedplaces.org/places/cou_460;QIONGZHOU Sichuan (邛州);103.456825;30.41659;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9711","names":["QIONGZHOU Sichuan (邛州)"]}];;Y;MDYZK;
949;0101000020E6100000C03DCF9F36F55940CE8B135FED0C3E40;courier;cou_466;MEIZHOU Sichuan (眉州驿);http://linkedplaces.org/places/cou_466;MEIZHOU Sichuan (眉州驿);103.831459;30.050497;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9712","names":["MEIZHOU Sichuan (眉州驿)"]}];;Y;MDYZK;
950;0101000020E6100000BF1072DEFFBE59406760E4654DFC3D40;courier;cou_458;YA'AN Sichuan (雅安驿);http://linkedplaces.org/places/cou_458;YA'AN Sichuan (雅安驿);102.984367;29.985556;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9716","names":["YA'AN Sichuan (雅安驿)"]}];;Y;MDYZK;
951;0101000020E61000007636E49F19F05940F9484A7A18923D40;courier;cou_461;JIADING Sichuan (嘉定州);http://linkedplaces.org/places/cou_461;JIADING Sichuan (嘉定州);103.751564;29.570686;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9717","names":["JIADING Sichuan (嘉定州)"]}];;Y;MDYZK;
952;0101000020E610000033535A7F4B365A40F699B33EE5C83D40;courier;cou_441;ZIZHOU Sichuan (资县);http://linkedplaces.org/places/cou_441;ZIZHOU Sichuan (资县);104.848358;29.784748;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9718","names":["ZIZHOU Sichuan (资县)"]}];;Y;MDYZK;
