uri	title	names
http://pleiades.stoa.org/places/206913	Altina	['Altina']
http://pleiades.stoa.org/places/207443	Singidunum	['Singidunum', 'Beograd']
http://pleiades.stoa.org/places/207515	Tricornium	['Tricornium']
http://pleiades.stoa.org/places/206938	*Aureus Mons	['Aureus Mons']
http://pleiades.stoa.org/places/207550	Vinceia	['Vinceia']
http://pleiades.stoa.org/places/207267	Margum	['Margum']
http://pleiades.stoa.org/places/207549	Viminacium	['Viminacium', 'Stari Kostolac']
http://pleiades.stoa.org/places/206887	Ad Nonum	['Ad Nonum']
http://pleiades.stoa.org/places/207296	Municipium	['Municipium']
http://pleiades.stoa.org/places/207189	Iovis Pagus	['Iovis Pagus']
http://pleiades.stoa.org/places/206958	‘Bao’	['Bao']
http://pleiades.stoa.org/places/207183	Idimum	['Idimum']
http://pleiades.stoa.org/places/206889	Ad Octavum	['Ad Octavum']
http://pleiades.stoa.org/places/207173	Horreum Margi	['Horreum Margi']
http://pleiades.stoa.org/places/207424	Sarmates	['Sarmates']
http://pleiades.stoa.org/places/207006	‘Cametas’	['Cametas']
http://pleiades.stoa.org/places/207363	Praesidium Pompei	['Praesidium Pompei']
http://pleiades.stoa.org/places/207156	Gramrianae	['Gramrianae', 'Rampiana']
http://pleiades.stoa.org/places/207303	Naissus	['Naissus', 'Niš']
http://pleiades.stoa.org/places/207373	*Radices	['Radices']
http://pleiades.stoa.org/places/207526	‘Ulmo’	['Ulmo']
http://pleiades.stoa.org/places/207382	Remesiana	['Remesiana']
http://pleiades.stoa.org/places/207235	Latina	['Latina']
http://pleiades.stoa.org/places/207521	Turres	['Turres']
http://pleiades.stoa.org/places/207509	‘Translitis’	['Translitis']
http://pleiades.stoa.org/places/206955	Ballanstra	['Ballanstra']
http://pleiades.stoa.org/places/207275	Meldia	['Meldia']
http://pleiades.stoa.org/places/207435	Scretisca	['Scretisca']
http://pleiades.stoa.org/places/207439	Serdica	['Serdica', 'Sofia']
http://pleiades.stoa.org/places/481835	‘Extuomne’	['Extuomne']
http://pleiades.stoa.org/places/481775	Burgaraca	['Burgaraca']
http://pleiades.stoa.org/places/481998	Sparata	['Sparata']
http://pleiades.stoa.org/places/481860	Helice	['Helice']
http://pleiades.stoa.org/places/481996	Soneio	['Soneio']
http://pleiades.stoa.org/places/222149	Pons Ucasi	['Pons Ucasi']
http://pleiades.stoa.org/places/216732	Bessapara	['Bessapara']
http://pleiades.stoa.org/places/216927	Philippopolis/Trimontium	['Philippopolis', 'Trimontium']
http://pleiades.stoa.org/places/216980	Sernota	['Sernota']
http://pleiades.stoa.org/places/216920	Parambole	['Parambole']
http://pleiades.stoa.org/places/216767	Cillis?	['Cillis']
http://pleiades.stoa.org/places/216750	Carassura	['Carassura']
http://pleiades.stoa.org/places/216714	Arzus	['Arzus']
http://pleiades.stoa.org/places/501384	Castra Iarba	['Castra Iarba']
http://pleiades.stoa.org/places/222167	Rhamis	['Rhamis']
http://pleiades.stoa.org/places/501381	Bourdepa	['Bourdepa']
http://pleiades.stoa.org/places/501526	Nike	['Nike']
http://pleiades.stoa.org/places/511428	‘Tarpodizo’	['Tarpodizo']
http://pleiades.stoa.org/places/511458	‘Urisio’	['Urisio']
http://pleiades.stoa.org/places/511185	Berg(o)ule/Arkadioupolis	[' Bergoule', ' Bergule', 'Arkadioupolis']
http://pleiades.stoa.org/places/511331	‘Narco’	['Narco']
http://pleiades.stoa.org/places/511241	Dr(o)usipara	[' Drousipara', ' Drusipara']
http://pleiades.stoa.org/places/511448	‘Tipaso’	['Tipaso']
http://pleiades.stoa.org/places/511456	Tzouroulon/Silta?	['Tzouroulon', 'Silta']
http://pleiades.stoa.org/places/511184	‘Beodizo’	['Beodizo']
http://pleiades.stoa.org/places/511357	Perinthus/Heraclea	['Perinthus', 'Heraclea']
http://pleiades.stoa.org/places/511414	Sely(m)bria/Eudoxiopolis	[' Selymbria', ' Selybria', 'Eudoxiopolis']
http://pleiades.stoa.org/places/511201	‘Callum’	['Callum']
http://pleiades.stoa.org/places/511172	Athyras	['Athyras']
http://pleiades.stoa.org/places/511397	Rhegion	['Rhegion']
http://pleiades.stoa.org/places/520998	Constantinopolis	['Constantinopolis', 'Istanbul']
http://pleiades.stoa.org/places/521092	‘Nassete’	['Nassete']
http://pleiades.stoa.org/places/521106	Panteichion	['Panteichion']
http://pleiades.stoa.org/places/511371	Potamoi	['Potamoi']
http://pleiades.stoa.org/places/511305	Libyssa	['Libyssa']
http://pleiades.stoa.org/places/511193	‘Brunca’	['Brunca']
http://pleiades.stoa.org/places/511337	Nicomedia	['Nicomedia', 'Nikomēdeia, Nikomedeia, Nikomedia', 'Nikomedia', 'Nikomēdia', 'Nikomedeia', 'Kocaeli, Kodjaeli, Kodja-Eli, Koja-Eli', 'İzmid, Izmid', 'İzniḳmid, Iznikmid, Izniqmid, Izniqmid', 'İznikmid, Iznikmid', 'İznikmit, Iznikmit', 'İzmit, Izmit, Ismid', 'Olbia', 'Niqumūdiya, Niqumudiya, Niqumudiyah, Niqumudiyya, Niqumudiyyah, Niqumudiye, Niqumudiyeh, Niqumudiyye, Niqumudiyyeh', 'Ismid']
http://pleiades.stoa.org/places/511253	Eribolon	['Eribolon']
http://pleiades.stoa.org/places/511304	Libum	['Libum']
http://pleiades.stoa.org/places/511302	‘Liada’	['Liada']
http://pleiades.stoa.org/places/511268	Helikore/Nicaea	['Helikore', 'Nicaea']
http://pleiades.stoa.org/places/511412	‘Schinae’	['Schinae']
http://pleiades.stoa.org/places/511326	Mygdum/‘Midum’	['Mygdum', 'Midum']
http://pleiades.stoa.org/places/511210	‘Chogeae’	['Chogeae']
http://pleiades.stoa.org/places/511437	‘Thateso’	['Thateso']
http://pleiades.stoa.org/places/511431	Tattaios	['Tattaios']
http://pleiades.stoa.org/places/511383	‘Protunica’	['Protunica']
http://pleiades.stoa.org/places/844900	Dableis	['Dableis']
http://pleiades.stoa.org/places/844892	Ceratae	['Ceratae']
http://pleiades.stoa.org/places/844901	Dadastana	['Dadastana']
http://pleiades.stoa.org/places/845086	‘Transmonte’	['Transmonte']
http://pleiades.stoa.org/places/845019	Milia	['Milia']
http://pleiades.stoa.org/places/844935	Gordioukome/Iuliopolis	['Gordioukome', 'Iuliopolis']
http://pleiades.stoa.org/places/844946	*Hieronpotamon	['Hieronpotamon']
http://pleiades.stoa.org/places/609447	Lagania/Anastasioupolis	['Lagania', 'Anastasioupolis', 'Lagantine']
http://pleiades.stoa.org/places/845038	‘Petobrogen’	['Petobrogen']
http://pleiades.stoa.org/places/845020	Mnizos	['Mnizos']
http://pleiades.stoa.org/places/845047	Prasmon	['Prasmon']
http://pleiades.stoa.org/places/845011	‘Manegordo’	['Manegordo']
http://pleiades.stoa.org/places/619136	Cenaxis Palus	['Cenaxis Palus']
http://pleiades.stoa.org/places/619103	Ancyra	['Ancyra', 'Angūriyah', 'Sebastē Tektosagōn, Sebaste Tektosagon', 'Angūriya, Anguriya', 'Anqara', 'Anqara', 'Anqīra, Anqira', 'Ankara', 'Anḳara, Ankara, Anqara', 'Ankyra', 'Ankara Z.A.', 'Ankūrīye, Ankuriye, Ankuriya', 'Ankūriya', 'Angora', 'Engürü, Enguru']
http://pleiades.stoa.org/places/619161	Galatia	['Galatia']
http://pleiades.stoa.org/places/619167	Gorbeus	['Gorbeus']
http://pleiades.stoa.org/places/619228	Orsologiakos/Rosolodiacus	['Orsologiakos', 'Rosolodiacus']
http://pleiades.stoa.org/places/619102	Aliassum	['Aliassum']
http://pleiades.stoa.org/places/619118	Aspona	['Aspona']
http://pleiades.stoa.org/places/619162	Galea	['Galea']
http://pleiades.stoa.org/places/619106	Andraka/Andrapa	['Andraka', 'Andrapa']
http://pleiades.stoa.org/places/619235	Parnassos	['Parnassos']
http://pleiades.stoa.org/places/619232	Ozzala/Ozizala	['Ozzala', 'Ozizala', 'Iogola']
http://pleiades.stoa.org/places/619220	Nitazi/Nitalis	['Nitazi', 'Nitalis']
http://pleiades.stoa.org/places/619115	Argustana	['Argustana']
http://pleiades.stoa.org/places/619164	Garsaura/Col. Claudia Archelais/Koloneia	['Garsaura', 'Col. Claudia Archelais', 'Koloneia']
http://pleiades.stoa.org/places/619212	Momasson	['Momasson']
http://pleiades.stoa.org/places/619218	Nandianulus/Nazianzos	['Nandianulus', 'Nazianzos', 'Nadiandos']
http://pleiades.stoa.org/places/619139	Chusa	['Chusa']
http://pleiades.stoa.org/places/619256	Sasima	['Sasima']
http://pleiades.stoa.org/places/619104	Andabalis	['Andabalis']
http://pleiades.stoa.org/places/648801	Tyana/Col. Aurelia Antoniniana	['Tyana', 'Col. Aurelia Antoniniana', 'Tyanitis', 'Tuwāna', 'Ṭuwāna, Tuwana', 'Colonia Ant. T., Colonia Antoniniana Tyana', 'Ziga Kaplıcası, Ziga Kaplicasi', 'Kemerhisar', 'Tyana, Tyanna', 'Truḫana', 'Dana', 'Dana', "al-Kanāʾis, al-Kana'is, el-Kana'is, al-Kanais, el-Kanais", 'Ṭavāna, Tavana', 'Tuḫana, Tukhana', 'Tuḫana, Tukhana', 'Eusebeia', 'Eusebeia am Tauros, Eusebeia at the Tauros', 'Tuwannuwa, Tuwanuwa', 'Tuwanuwa']
http://pleiades.stoa.org/places/648608	Col. Faustinopolis/Halala	['Col. Faustinopolis', 'Halala']
http://pleiades.stoa.org/places/648592	Caena	['Caena']
http://pleiades.stoa.org/places/648742	Podandus	['Podandus']
http://pleiades.stoa.org/places/648670	Kilikiai Pylai	['Kilikiai Pylai', 'Cilician Gate', 'Gülek Bogazi, Gulek Bogazi']
http://pleiades.stoa.org/places/648704	Ma(m)psoukrenai	['Mampsoukrenai', 'Mapsoukrenai']
http://pleiades.stoa.org/places/648789	Tarsus/Antiochia ad Cydnum	['Tarsus', 'Antiochia ad Cydnum', 'Tarzi', 'Tarzu', 'Iouliopolis', 'Antiocheia', 'Antiocheia pros Kydnō, Antiocheia pros Kydno', 'Tarša, Tarsha, Tarsa', 'Taršıš', 'Taršiš, Tarshish', 'Taršiš, Tarshish', 'Tarsos', 'Tarson', 'Tarsus', 'Ṭarsus, Tarsus', 'Ṭarsūs, Tarsus', 'Gözlükule, Gözlü Kule', 'Gözlü Kule', 'Antiocheia in Persis, Antiocheia on the Kydnos']
http://pleiades.stoa.org/places/648733	Pargais	['Pargais']
http://pleiades.stoa.org/places/648548	Adana/Antiochia ad Sarum	['Adana', 'Antiochia ad Sarum', 'Antiocheia', 'ʾdn', 'Antiocheia pros Sarō, Antiocheia pros Saro', 'Adana', 'Adana', 'Adana', 'Adana', 'Aḏana, Adhana, Adana', 'Antiocheia am Saros', 'Atanija, Ataniya', 'Aḍana, Adhana']
http://pleiades.stoa.org/places/658538	Mopsou(h)estia/Seleukeia pros to Pyramo	['Mopsouhestia', 'Mopsouestia', 'Seleukeia pros to Pyramo', 'Mopsus', 'Misis']
http://pleiades.stoa.org/places/658610	Tardequeia	['Tardequeia']
http://pleiades.stoa.org/places/658506	Katabolos/Moutloubake	['Katabolos', 'Moutloubake']
http://pleiades.stoa.org/places/658394	Baiae	['Baiae']
http://pleiades.stoa.org/places/658371	Alexandria ad Issum	['Alexandria ad Issum', 'Alexandretta', 'İskenderum', 'Alexandrette', 'Iskenderun', 'İskenderun, Iskenderun, Iskenderum', 'İskenderun, Iskenderun, Iskenderum', 'Alexandreia bei Issos, Alexandreia on the Issos', 'al-Iskandarūna', 'Iskandarūn, Iskandarun, al-Iskandaruna', 'Iskandarīya', 'al-Iskandarīya, al-Iskandariya, el-Iskanderiye, al-Iskandariyah, el-Iskanderiyeh, al-Iskandariyya, el-Iskanderiyye, al-Iskandariyyah, el-Iskanderiyyeh, Iskandariya', 'Alexandreia', 'Alexandreia kat Isson', "Alexandreia kat' Isson, Alexandreia kat Isson"]
http://pleiades.stoa.org/places/658573	Platanoi/‘Pictanus’	['Platanoi', 'Pictanus']
http://pleiades.stoa.org/places/658564	Pagrae	['Pagrae']
http://pleiades.stoa.org/places/658381	Antiochia/Theoupolis	['Antiochia', 'Theoupolis', 'Iopolis', 'Antiocheia epi Daphnē, Antiocheia on Daphne', 'Anṭaqya', 'Antiocheia', 'Antakya', 'Anṭākiya, Antakiya, Antakiyah, Antakiyya, Antakiyyah', 'Anṭaḳya, Antaqya', 'Anṭākya', 'Anṭakya, Antakya', 'Antiochia', 'Antiochia', 'Hatay', 'III Gallica (Vesp.) garrison, III Gallica (Vespasian) garrison', 'Antiocheia am Orontes', 'Antiocheia am Orontēs, Antiocheia epi Orontou, Antiocheia on the Orontes']
http://pleiades.stoa.org/places/658450	Daphne	['Daphne']
http://pleiades.stoa.org/places/658483	Hydatos Potamoi/Seleukeia Pieria	['Hydatos Potamoi', 'Seleukeia Pieria']
http://pleiades.stoa.org/places/668290	Laodicea	['Laodicea', 'Laodikene', 'Mazabda']
http://pleiades.stoa.org/places/668250	Gabala	['Gabala']
http://pleiades.stoa.org/places/668206	Balanea/Leukas	['Balanea', 'Leukas']
http://pleiades.stoa.org/places/668305	Maraccas	['Maraccas']
http://pleiades.stoa.org/places/668190	Antarados/Constantia	['Antarados', 'Constantia']
http://pleiades.stoa.org/places/668198	Arca/Herakleia en Phoinike/Caesarea ad Libanum	['Arca', 'Herakleia en Phoinike', 'Caesarea ad Libanum']
http://pleiades.stoa.org/places/668215	Bruttus	['Bruttus']
http://pleiades.stoa.org/places/668394	Tripolis	['Tripolis', 'Tripolis', 'Ṭarābulus, Tarabulus', 'al-Mīnā', "al-Mīnāʾ, al-Mina, el-Mina, al-Mina', el-Mina'", 'Tripolis', 'Tripolis', 'Waḫliya, Wakhliya, Wahliya', 'Ṭrāblus, Trablus', 'Ṭarābulus aš-Šām, Tarabulus ash-Sham, Tarabulus esh-Sham, Tarabulus al-Sham, Tarabulus el-Sham, Tarablus ash-Sham, Tarablus esh-Sham, Tarablus al-Sham, Tarablus el-Sham', 'Ṭarābulus, Tarabulus, Tarablus', 'Ṭarāblus', 'Tripoli', 'Tripoli']
http://pleiades.stoa.org/places/668392	Trieres	['Trieres']
http://pleiades.stoa.org/places/668214	Botrys	['Botrys']
http://pleiades.stoa.org/places/668216	Byblos	['Byblos', 'Byblos', 'Ǧubail', 'Gǝbȧl', 'Gǝbal, Gebal', 'Ǧubail, Jubail, Jubeil, Jubayl, Jubeyl, Jubiyl', 'gbl', 'Gibelet, Giblet', 'Gubl', 'Gubla', 'Gubla', 'Gubla', 'Ǧubēl, Jubel, Jbeil']
http://pleiades.stoa.org/places/678177	Heldua	['Heldua']
http://pleiades.stoa.org/places/678060	Berytus/Laodikeia en te Phoinike/Col. Iulia Augusta Felix	['Berytus', 'Laodikeia en te Phoinike', 'Col. Iulia Augusta Felix', 'Lattaquié', 'Beirut', 'Bēt Lāpaṭ', 'Bēt Lāpāṭ, Bet Lapat, Bet Lapath', 'Col. Iul. Aug. Fel. B., Col. Jul. Aug. Fel. B.', 'Biruta', 'Berot', 'Barut', 'Baruth', 'Bērūt, Berut', 'Bērytos, Berytos', 'Berytos', 'Bairūt, Bairut, Bayrut, Beyrut', 'Laodikeia, Laodicea', 'Colonia Julia Augusta B., Colonia Iulia Augusta B.', 'Beirut', 'Beirut', 'Colonia Jul. Aug. Fel. B., Colonia Iul. Aug. Fel. B.']
http://pleiades.stoa.org/places/678338	Porphyreon Polis	['Porphyreon Polis']
http://pleiades.stoa.org/places/678393	Sidon/Col. Aurelia Pia	['Sidon', 'Col. Aurelia Pia', 'Saiete, Sayete', 'ṣdn', 'ṣdn', 'Sydon', 'Saidā', 'Ṣaidā, Saida, Sayda', 'Ṣaida', 'Ṣaidā', 'Ṣidon, Sidon', 'Ṣidon, Sidon', 'Sidon', 'Sidōn, Sidon', 'Ṣidunu, Sidunu', 'Ṣīdūnu, Sidunu', 'Sidūnu, Sidunu', 'Ṣidūnu', 'Colonia Aur. Pia S.', 'Colonia Aurelia Pia S., Colonia Aur. Pia S., Colonia Aurelia Pia Sidon', 'Seete']
http://pleiades.stoa.org/places/678374	Sarepta/Makra Kome	['Sarepta', 'Makra Kome']
http://pleiades.stoa.org/places/679506	Untitled	[]
http://pleiades.stoa.org/places/678437	Tyrus/Col. Septimia Severa	['Tyrus', 'Col. Septimia Severa', 'Ṣuru, Suru', 'Ṣūru, Suru', 'Ṭūrā, Tura', 'Ṣūr, Sur, Sour', 'Ṭūra', 'Tyr', 'Ṣor, Sor', 'Ṣor, Sor', 'Ṣurru, Surru', 'Sur', 'Tyrus', 'Tyrus', 'Colonia Sept. T.', 'Colonia Septimia T., Colonia Septimia Tyra, Colonia Sept. T., Col. Septimia T.', 'Col. Septimia T.', 'Tyros']
http://pleiades.stoa.org/places/678013	Alexandroschene	['Alexandroschene']
