collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches
bordeaux;bor_15;tholosa;http://linkedplaces.org/places/bor_15;Tholosa;1.3976884;43.6147918;[{"uri":"http://pleiades.stoa.org/places/246694","names":['Tolosa', 'Col. Iulia Tolosa', 'Civ. Tectosagum', 'Tolosates', 'Toulouse']}];
bordeaux;bor_95;concordia;http://linkedplaces.org/places/bor_95;Concordia;12.84547;45.75594;[{"uri":"http://pleiades.stoa.org/places/393441","names":['Iulia Concordia']}];
bordeaux;bor_210;nicia;http://linkedplaces.org/places/bor_210;Nicia;29.715443;40.426679;[{"uri":"http://pleiades.stoa.org/places/511268","names":['Helikore', 'Nicaea']}];
bordeaux;bor_152;idomo;http://linkedplaces.org/places/bor_152;Idomo;21.345266;44.148941;[{"uri":"http://pleiades.stoa.org/places/207183","names":['Idimum']}];
bordeaux;bor_16;ad nonum;http://linkedplaces.org/places/bor_16;Ad Nonum;1.5179;43.4916;[{"uri":"http://pleiades.stoa.org/places/246137","names":['Ad Nonum']}];
bordeaux;bor_96;apicilia;http://linkedplaces.org/places/bor_96;Apicilia;12.98675;45.78756;[{"uri":"http://pleiades.stoa.org/places/187287","names":['Apicilia']}];
bordeaux;bor_211;schinae;http://linkedplaces.org/places/bor_211;Schinae;29.915044;40.413487;[{"uri":"http://pleiades.stoa.org/places/511412","names":['Schinae']}];
bordeaux;bor_153;ad octauum;http://linkedplaces.org/places/bor_153;Ad Octauum;21.313576;44.042641;[{"uri":"http://pleiades.stoa.org/places/206889","names":['Ad Octavum']}];
bordeaux;bor_17;ad vicesimum;http://linkedplaces.org/places/bor_17;Ad Vicesimum;1.668689;43.433758;[{"uri":"http://pleiades.stoa.org/places/246143","names":['Ad Vicesimum']}];
bordeaux;bor_267;ladica;http://linkedplaces.org/places/bor_267;Ladica;35.782047;35.513994;[{"uri":"http://pleiades.stoa.org/places/668290","names":['Laodicea', 'Laodikene', 'Mazabda']}];
bordeaux;bor_97;ad vndecimum;http://linkedplaces.org/places/bor_97;Ad Vndecimum;13.215652;45.833489;[{"uri":"http://pleiades.stoa.org/places/187260","names":['Ad Undecimum 1']}];
