collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches;status;source;comment
courier;cou_94;HUANGBAO Hunan (黄堡驿);http://linkedplaces.org/places/cou_94;HUANGBAO Hunan (黄堡驿);112.852417;27.245646;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_41862","names":["HUANGBAO Hunan (黄堡驿)"]}];;Y;MDYZK;
courier;cou_353;HUITONG Hunan (会同);http://linkedplaces.org/places/cou_353;HUITONG Hunan (会同);109.713547;26.861492;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_41892","names":["HUITONG Hunan (会同)"]}];;Y;MDYZK;
courier;cou_309;WUXUAN Guangxi (武宣);http://linkedplaces.org/places/cou_309;WUXUAN Guangxi (武宣);109.655029;23.596741;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_419","names":["WUXUAN Guangxi (武宣)"]}];;Y;MDYZK;
courier;cou_355;CILI Hunan (慈利);http://linkedplaces.org/places/cou_355;CILI Hunan (慈利);111.121712;29.426342;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_41942","names":["CILI Hunan (慈利)"]}];;B;PA_1903;
courier;cou_354;YONGDINGWEI Hunan (永定卫);http://linkedplaces.org/places/cou_354;YONGDINGWEI Hunan (永定卫);110.484711;29.127953;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_41946","names":["YONGDINGWEI Hunan (永定卫)"]}];;N;MDYZK;
courier;cou_246;ZAOLIN Zhejiang (皂林驿);http://linkedplaces.org/places/cou_246;ZAOLIN Zhejiang (皂林驿);120.418739;30.530447;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_41948","names":["ZAOLIN Zhejiang (皂林驿)"]}];;N;MDYZK;
courier;cou_356;SHIMEN Hunan (石门);http://linkedplaces.org/places/cou_356;SHIMEN Hunan (石门);111.373611;29.588543;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_41948","names":["SHIMEN Hunan (石门)"]}];;Y;MDYZK;
courier;cou_363;NINGYUAN Hunan (宁远);http://linkedplaces.org/places/cou_363;NINGYUAN Hunan (宁远);111.938683;25.598452;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_41974","names":["NINGYUAN Hunan (宁远)"]}];;B;PA_1903;
courier;cou_365;YONGMING Hunan (永明);http://linkedplaces.org/places/cou_365;YONGMING Hunan (永明);111.336449;25.276974;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_41986","names":["YONGMING Hunan (永明)"]}];;N;PA_1903;
courier;cou_514;QINGFENG Henan (清丰);http://linkedplaces.org/places/cou_514;QINGFENG Henan (清丰);115.110039;35.908768;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_42","names":["QINGFENG Henan (清丰)"]}];;Y;MDYZK;
courier;cou_307;GUIXIAN Guangxi (贵县);http://linkedplaces.org/places/cou_307;GUIXIAN Guangxi (贵县);109.608444;23.099092;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_420","names":["GUIXIAN Guangxi (贵县)"]}];;Y;MDYZK;
courier;cou_349;WUGANG Hunan (武冈);http://linkedplaces.org/places/cou_349;WUGANG Hunan (武冈);110.622292;26.730705;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_42026","names":["WUGANG Hunan (武冈)"]}];;Y;MDYZK;
courier;cou_351;QIANYANG Hunan (黔阳);http://linkedplaces.org/places/cou_351;QIANYANG Hunan (黔阳);109.811852;27.195129;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_42078","names":["QIANYANG Hunan (黔阳)"]}];;Y;MDYZK;
courier;cou_337;PINGNAN Guangxi (平南);http://linkedplaces.org/places/cou_337;PINGNAN Guangxi (平南);110.394737;23.54998;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_421","names":["PINGNAN Guangxi (平南)"]}];;Y;MDYZK;
courier;cou_106;LINXIANG Hunan (临湘);http://linkedplaces.org/places/cou_106;LINXIANG Hunan (临湘);113.29287;29.588139;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_42109","names":["LINXIANG Hunan (临湘)"]}];;Y;MDYZK;
courier;cou_332;TENGXIAN Guangxi (藤县);http://linkedplaces.org/places/cou_332;TENGXIAN Guangxi (藤县);110.904282;23.373119;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_422","names":["TENGXIAN Guangxi (藤县)"]}];;Y;MDYZK;
courier;cou_113;FURONG Guangdong (芙蓉驿);http://linkedplaces.org/places/cou_113;FURONG Guangdong (芙蓉驿);113.603416;24.810209;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_42238","names":["FURONG Guangdong (芙蓉驿)"]}];;Y;MDYZK;
courier;cou_370;LECHANG Guangdong (乐昌);http://linkedplaces.org/places/cou_370;LECHANG Guangdong (乐昌);113.346794;25.134874;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_42243","names":["LECHANG Guangdong (乐昌)"]}];;Y;MDYZK;
courier;cou_377;RUYUAN Guangdong (乳源);http://linkedplaces.org/places/cou_377;RUYUAN Guangdong (乳源);113.269;24.784;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_42249","names":["RUYUAN Guangdong (乳源)"]}];;B;PA_1903;
courier;cou_375;WENGYUAN Guangdong (翁源);http://linkedplaces.org/places/cou_375;WENGYUAN Guangdong (翁源);113.82032;24.375137;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_42255","names":["WENGYUAN Guangdong (翁源)"]}];;B;PA_1903;
courier;cou_109;YINGDE Guangdong (英德);http://linkedplaces.org/places/cou_109;YINGDE Guangdong (英德);113.402077;24.172937;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_42263","names":["YINGDE Guangdong (英德)"]}];;Y;MDYZK;
courier;cou_395;HAIKANG Guangdong (海康);http://linkedplaces.org/places/cou_395;HAIKANG Guangdong (海康);110.087914;20.901958;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_42434","names":["HAIKANG Guangdong (海康)"]}];;N;PA_1903;
courier;cou_695;HUANGHUAYI Hunan (皇华驿);http://linkedplaces.org/places/cou_695;HUANGHUAYI Hunan (皇华驿);112.885615;27.382511;;;N;MDYZK;
courier;cou_362;SHIXING Guangdong (始兴);http://linkedplaces.org/places/cou_362;SHIXING Guangdong (始兴);114.063148;24.945763;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_42596","names":["SHIXING Guangdong (始兴)"]}];;Y;MDYZK;
courier;cou_234;YANGZHOU Jiangsu (扬州府);http://linkedplaces.org/places/cou_234;YANGZHOU Jiangsu (扬州府);119.437187;32.39127;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_42684","names":["YANGZHOU Jiangsu (扬州府)"]}];;Y;MDYZK;Jiangdu Xian
courier;cou_191;QINGKOU Anhui (青口驿);http://linkedplaces.org/places/cou_191;QINGKOU Anhui (青口驿);116.5672;30.630346;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_43002","names":["QINGKOU Anhui (青口驿)"]}];;Y;MDYZK;
courier;cou_183;TAIHU Anhui (太湖);http://linkedplaces.org/places/cou_183;TAIHU Anhui (太湖);116.265076;30.420059;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_43008","names":["TAIHU Anhui (太湖)"]}];;Y;MDYZK;
courier;cou_198;LVTING Anhui (吕亭驿);http://linkedplaces.org/places/cou_198;LVTING Anhui (吕亭驿);116.938606;31.05228;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_43026","names":["LVTING Anhui (吕亭驿)"]}];;Y;MDYZK;See Tongcheng
courier;cou_210;DINGYUAN Anhui (定远);http://linkedplaces.org/places/cou_210;DINGYUAN Anhui (定远);117.67569;32.530247;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_430389","names":["DINGYUAN Anhui (定远)"]}];;Y;MDYZK;
courier;cou_200;SUIYANGYI Anhui (睢阳驿);http://linkedplaces.org/places/cou_200;SUIYANGYI Anhui (睢阳驿);116.971397;33.642368;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_43207","names":["SUIYANGYI Anhui (睢阳驿)"]}];;N;MDYZK;
courier;cou_654;BAISHANDAOYI Anhui (百善道驿);http://linkedplaces.org/places/cou_654;BAISHANDAOYI Anhui (百善道驿);116.659035;33.788269;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_43278","names":["BAISHANDAOYI Anhui (百善道驿)"]}];;Y;MDYZK;
courier;cou_121;FENGSHANYI Hubei (凤山驿);http://linkedplaces.org/places/cou_121;FENGSHANYI Hubei (凤山驿);113.874611;29.708353;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_43431","names":["FENGSHANYI Hubei (凤山驿)"]}];;N;MDYZK;
courier;cou_132;XIANNING Hubei (咸宁驿);http://linkedplaces.org/places/cou_132;XIANNING Hubei (咸宁驿);114.271622;29.892479;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_43433","names":["XIANNING Hubei (咸宁驿)"]}];;Y;MDYZK;
courier;cou_169;TINGQIAN Hubei (亭前驿);http://linkedplaces.org/places/cou_169;TINGQIAN Hubei (亭前驿);115.934937;30.079201;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_43559","names":["TINGQIAN Hubei (亭前驿)"]}];;Y;MDYZK;
courier;cou_82;JINGNAN Hubei (荆南驿);http://linkedplaces.org/places/cou_82;JINGNAN Hubei (荆南驿);112.190773;30.350445;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_43676","names":["JINGNAN Hubei (荆南驿)"]}];;Y;MDYZK;
courier;cou_312;LIUCHENG Guangxi (柳城);http://linkedplaces.org/places/cou_312;LIUCHENG Guangxi (柳城);109.260117;24.527336;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_43806","names":["LIUCHENG Guangxi (柳城)"]}];;Y;MDYZK;
courier;cou_316;YIYANGYI Guangxi (宜阳驿);http://linkedplaces.org/places/cou_316;YIYANGYI Guangxi (宜阳驿);108.655884;24.49073;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_43965","names":["YIYANGYI Guangxi (宜阳驿)"]}];;N;MDYZK;
courier;cou_389;HUAIJI Guangdong (怀集驿);http://linkedplaces.org/places/cou_389;HUAIJI Guangdong (怀集驿);112.179237;23.912186;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_44194","names":["HUAIJI Guangdong (怀集驿)"]}];;B;PA_1903;
