nodeid;names;lng;lat
afr_2376;[{"name" : "loc25-tmc050223", "id" : "tmcDZm1300a_126a", "country" : "SD", "detail" : "?Ad Dabbah", "datastatus" : "exact"}];31.8;18.45
afr_2377;[{"name" : "loc26-tmc050223", "id" : "tmcDZm1300a_127a", "country" : "SD", "detail" : "?Al Khandaq", "datastatus" : "exact"}];30.5667;18.6
afr_2378;[{"name" : "loc27-tmc050223", "id" : "tmcDZm1300a_128a", "country" : "SD", "detail" : "?Dunqulah", "datastatus" : "exact"}];30.4833;19.1667
afr_2379;[{"name" : "loc28-tmc050223", "id" : "tmcDZm1300a_129a", "country" : "SD", "detail" : "?Argo", "datastatus" : "exact"}];30.4167;19.5167
afr_2380;[{"name" : "loc29-tmc050223", "id" : "tmcDZm1300a_130a", "country" : "SD", "detail" : "?Dalqu", "datastatus" : "exact"}];30.5614;20.1228
afr_2381;[{"name" : "loc30-tmc050223", "id" : "tmcDZm1300a_131a", "country" : "SD", "detail" : "?Semna East", "datastatus" : "exact"}];31.0167;21.4667
afr_2382;[{"name" : "loc31-tmc050223", "id" : "tmcDZm1300a_132a", "country" : "SD", "detail" : "?Wadi Halfa'", "datastatus" : "exact"},{"name" : "loc08-tmc010103", "id" : "tmcEGm0200_041a", "country" : "SD", "detail" : "upper Nile", "datastatus" : "exact"}];31.35;21.8
afr_2383;[{"name" : "loc34-tmc050223", "id" : "tmcDZm1300a_045a", "country" : "LY", "detail" : "?Al Awaynat", "datastatus" : "exact"}];10.5508;25.7892
afr_2384;[{"name" : "loc35-tmc050223", "id" : "tmcDZm1300a_044a", "country" : "DZ", "detail" : "?Djanet", "datastatus" : "exact"},{"name" : "loc35-tmc050223", "id" : "tmcDZm1300b_015a", "country" : "DZ", "detail" : "?Djanet", "datastatus" : "exact"}];9.4822;24.5525
afr_2385;[{"name" : "loc36-tmc050223", "id" : "tmcDZm1300a_041a", "country" : "NE", "detail" : "?Iferouane", "datastatus" : "exact"},{"name" : "loc36-tmc050223", "id" : "tmcDZm1300b_014a", "country" : "NE", "detail" : "?Iferouane", "datastatus" : "exact"}];8.4;19.0667
afr_26;[{"name" : "Berenice", "id" : "tmcEGm0200_013a", "country" : "EG", "detail" : "nkn", "datastatus" : "exact"}];35.466667;23.916668
afr_335;[{"name" : "loc11-tmc010103", "id" : "tmcEGm0200_038a", "country" : "UA", "detail" : "nkn", "datastatus" : "approx"}];30.516666;50.433334
afr_361;[{"name" : "Hippo Regius", "id" : "tmcEGm0200_032a", "country" : "DZ", "detail" : "nkn", "datastatus" : "exact"}];7.733333;36.866669
afr_4125;[{"name" : "Bagamoyo", "id" : "tmcTZm1700_005a", "country" : "TZ", "detail" : "nkn", "datastatus" : "exact"}];38.9;-6.4333
afr_4126;[{"name" : "Mamboya", "id" : "tmcTZm1700_005a", "country" : "TZ", "detail" : "nkn", "datastatus" : "exact"}];38.4;-5.8167
afr_4127;[{"name" : "Mpwapwa", "id" : "tmcTZm1700_004a", "country" : "TZ", "detail" : "nkn", "datastatus" : "exact"}];36.4833;-6.35
afr_4128;[{"name" : "Kilimatinde", "id" : "tmcTZm1700_003a", "country" : "TZ", "detail" : "nkn", "datastatus" : "exact"}];34.95;-5.85
afr_4129;[{"name" : "Tabora", "id" : "tmcTZm1700_002a", "country" : "TZ", "detail" : "nkn", "datastatus" : "exact"}];32.8;-5.0167
afr_4130;[{"name" : "Ujiji", "id" : "tmcTZm1700_001a", "country" : "TZ", "detail" : "nkn", "datastatus" : "exact"}];29.6761;-4.9056
afr_48;[{"name" : "Damascus", "id" : "tmcEGm0200_008a", "country" : "SY", "detail" : "nkn", "datastatus" : "exact"}];36.299999;33.5
afr_502;[{"name" : "Siwa", "id" : "tmcDZm1300a_008a", "country" : "EG", "detail" : "nkn", "datastatus" : "exact"},{"name" : "Siwa", "id" : "tmcDZm1300b_004a", "country" : "EG", "detail" : "nkn", "datastatus" : "exact"},{"name" : "Siwa Oasis", "id" : "tmcEGm0200_012a", "country" : "EG", "detail" : "nkn", "datastatus" : "exact"}];25.666668;29.166668
afr_553;[{"name" : "Dioscurias", "id" : "tmcEGm0200_025a", "country" : "TR", "detail" : "nkn", "datastatus" : "exact"}];41.033333;43
afr_56;[{"name" : "Gaza", "id" : "tmcEGm0200_003a", "country" : "IL", "detail" : "nkn", "datastatus" : "exact"}];34.466667;31.5
afr_580;[{"name" : "loc10-tmc010103", "id" : "tmcEGm0200_025a", "country" : "AZ", "detail" : "at Caspian Sea", "datastatus" : "approx"}];49.893333;40.371113
afr_617;[{"name" : "In Salah", "id" : "tmcDZm1300a_034a", "country" : "DZ", "detail" : "nkn", "datastatus" : "exact"},{"name" : "frk02-tmc010509", "id" : "tmcMAm1500_019a", "country" : "DZ", "detail" : "nkn", "datastatus" : "exact"}];2.483;27.2
afr_630;[{"name" : "loc03-tmc010103", "id" : "tmcEGm0200_027a", "country" : "IQ", "detail" : "nkn", "datastatus" : "approx"}];44.393055;32.031666
afr_631;[{"name" : "loc04-tmc010103", "id" : "tmcEGm0200_040a", "country" : "IR", "detail" : "nkn", "datastatus" : "approx"}];49.337502;36.620556
afr_7;[{"name" : "loc01-tmc031216", "id" : "tmcDZm1300a_002a", "country" : "JO", "detail" : "?Al-`Aqabah", "datastatus" : "exact"},{"name" : "Aelana", "id" : "tmcEGm0200_001a", "country" : "IL", "detail" : "nkn", "datastatus" : "approx"}];35;29.517
afr_723;[{"name" : "Kharja", "id" : "tmcDZm1300a_006a", "country" : "EG", "detail" : "nkn", "datastatus" : "exact"},{"name" : "Kharja", "id" : "tmcDZm1300b_002a", "country" : "EG", "detail" : "nkn", "datastatus" : "exact"},{"name" : "Kharga Oasis", "id" : "tmcEGm0200_033a", "country" : "EG", "detail" : "nkn", "datastatus" : "exact"}];30.583332;25.333332
afr_728;[{"name" : "loc05-tmc010103", "id" : "tmcEGm0200_011a", "country" : "LY", "detail" : "nkn", "datastatus" : "exact"}];21.016666;25.616667
afr_731;[{"name" : "Kufra", "id" : "tmcDZm1300a_011a", "country" : "LY", "detail" : "nkn", "datastatus" : "exact"},{"name" : "Kufra", "id" : "tmcDZm1300b_007a", "country" : "LY", "detail" : "nkn", "datastatus" : "exact"}];23.25;24.166668
afr_737;[{"name" : "Selima", "id" : "tmcDZm1300a_007a", "country" : "EG", "detail" : "nkn", "datastatus" : "exact"},{"name" : "Selima", "id" : "tmcDZm1300b_003a", "country" : "SD", "detail" : "nkn", "datastatus" : "exact"}];29.316668;21.366667
afr_740;[{"name" : "loc02-tmc010103", "id" : "tmcEGm0200_039a", "country" : "EG", "detail" : "on rd. Alexandria=Apollonia", "datastatus" : null}];27.233334;31.35
afr_741;[{"name" : "Aswan", "id" : "tmcDZm0500_002a", "country" : "EG", "detail" : "nkn", "datastatus" : "exact"},{"name" : "loc32-tmc050223", "id" : "tmcDZm1300a_133a", "country" : "SD", "detail" : "?Aswan", "datastatus" : "exact"}];32.883331;24.083332
afr_742;[{"name" : "Mekka", "id" : "tmcDZm0500_009a", "country" : "SA", "detail" : "nkn", "datastatus" : "exact"},{"name" : "Mecca", "id" : "tmcDZm1300a_001a", "country" : "SA", "detail" : "nkn", "datastatus" : "exact"}];39.816666;21.450001
afr_743;[{"name" : "Jiddah", "id" : "tmcDZm0500_001a", "country" : "SA", "detail" : "nkn", "datastatus" : "exact"},{"name" : "loc07-tmc010103", "id" : "tmcEGm0200_002a", "country" : "SA", "detail" : "on the R Sea coast", "datastatus" : "approx"}];39.200001;21.483334
